trial,conv,fc,pool,n_params,n_mult,mean_val_acc
1,reduced,reduced,frequent,733615,2616924,0.983982161
1,reduced,reduced,frequent,106893,579042,0.988459172
1,reduced,reduced,frequent,27381,84126,0.989929385
1,reduced,reduced,frequent,4383,18900,0.944315497
1,reduced,reduced,frequent,1901,5310,0.942273397
1,reduced,reduced,frequent,351,1236,0.711273748
2,reduced,reduced,aggressive,733615,2616924,0.983982161
2,reduced,reduced,aggressive,106893,480738,0.989753594
2,reduced,reduced,aggressive,27381,96414,0.984729006
2,reduced,reduced,aggressive,4383,18900,0.951131861
2,reduced,reduced,aggressive,845,4254,0.751102189
2,reduced,reduced,aggressive,247,972,0.603245232
3,reduced,reduced,baseline,733615,2616924,0.983982161
3,reduced,reduced,baseline,185741,655842,0.990064139
3,reduced,reduced,baseline,47605,164766,0.990837722
3,reduced,reduced,baseline,12063,41172,0.985690393
3,reduced,reduced,baseline,3309,10494,0.954647066
3,reduced,reduced,baseline,975,2724,0.847041284
4,reduced,baseline,frequent,733615,2616924,0.983982161
4,reduced,baseline,frequent,206543,678492,0.987534388
4,reduced,baseline,frequent,113631,170076,0.991156178
4,reduced,baseline,frequent,51463,65628,0.95849108
4,reduced,baseline,frequent,50499,53532,0.967582813
4,reduced,baseline,frequent,35659,36156,0.754551952
5,reduced,baseline,aggressive,733615,2616924,0.983982161
5,reduced,baseline,aggressive,206543,580188,0.987790623
5,reduced,baseline,aggressive,113631,182364,0.985152081
5,reduced,baseline,aggressive,51463,65628,0.968946301
5,reduced,baseline,aggressive,35907,38940,0.788033758
5,reduced,baseline,aggressive,33227,33564,0.588566116
6,reduced,baseline,baseline,733615,2616924,0.983982161
6,reduced,baseline,baseline,362191,832092,0.989502617
6,reduced,baseline,baseline,191455,308316,0.990908826
6,reduced,baseline,baseline,109831,138588,0.987814376
6,reduced,baseline,baseline,69955,76764,0.972513737
6,reduced,baseline,baseline,50251,51612,0.906796282
7,baseline,reduced,frequent,733615,2616924,0.983982161
7,baseline,reduced,frequent,245869,2133474,0.987175612
7,baseline,reduced,frequent,163269,1067934,0.989868312
7,baseline,reduced,frequent,101319,1008084,0.988876565
7,baseline,reduced,frequent,103001,1004670,0.98767808
7,baseline,reduced,frequent,87027,990756,0.979880914
8,baseline,reduced,aggressive,733615,2616924,0.983982161
8,baseline,reduced,aggressive,245869,1740258,0.989593269
8,baseline,reduced,aggressive,163269,1264542,0.988267709
8,baseline,reduced,aggressive,101319,1008084,0.989897928
8,baseline,reduced,aggressive,86105,895614,0.967326039
8,baseline,reduced,aggressive,83699,696612,0.968572816
9,baseline,reduced,baseline,733615,2616924,0.983982161
9,baseline,reduced,baseline,403565,2287074,0.986189353
9,baseline,reduced,baseline,244165,2127774,0.983094833
9,baseline,reduced,baseline,162759,2046420,0.980670815
9,baseline,reduced,baseline,125529,2009214,0.985997846
9,baseline,reduced,baseline,106995,1990692,0.983372449
10,baseline,baseline,frequent,733615,2616924,0.983982161
10,baseline,baseline,frequent,422319,2309724,0.987621838
10,baseline,baseline,frequent,422319,1326684,0.989840808
10,baseline,baseline,frequent,422319,1323612,0.988110341
10,baseline,baseline,frequent,266671,1173084,0.989646953
10,baseline,baseline,frequent,266671,1170012,0.990824623
10,baseline,baseline,frequent,266671,678492,0.989516055
10,baseline,baseline,frequent,188847,601692,0.98849174
11,baseline,baseline,aggressive,733615,2616924,0.983982161
11,baseline,baseline,aggressive,422319,1916508,0.987233588
11,baseline,baseline,aggressive,422319,1523292,0.984256234
11,baseline,baseline,aggressive,266671,1173084,0.989061225
11,baseline,baseline,aggressive,188847,997980,0.976032275
11,baseline,baseline,aggressive,188847,801372,0.986654905
11,baseline,baseline,aggressive,149935,713820,0.956051469
